weak,strong,rule,failures,ler,escalation,silent,unconverged,catch,harm,worse,better,p,cost_us,breakeven,saving,ler_low,ler_high
peel,OSD-0,primary_fail,7,0.00035,0.6476,0,0,0,0,0,0,1.0,465607.4128459976,nan,0.0,0.00016955101329104707,0.0007223576688892798
peel,OSD-0,flag>=1,7,0.00035,0.9419,0,0,0,0,0,0,1.0,596375.5318313888,0.3297294269228615,-0.2808548905741832,0.00016955101329104707,0.0007223576688892798
peel,OSD-0,flag>=2,7,0.00035,0.83325,0,0,0,0,0,0,1.0,546590.8985822159,0.2846955988345347,-0.17393083422192857,0.00016955101329104707,0.0007223576688892798
peel,OSD-0,flag>=3,7,0.00035,0.73645,0,0,0,0,0,0,1.0,502103.573457695,0.2342472976535726,-0.07838397672540642,0.00016955101329104707,0.0007223576688892798
peel,OSD-0,flag>=4,7,0.00035,0.68275,0,0,0,0,0,0,1.0,478262.4330591629,0.19056654920032537,-0.027179593503059207,0.00016955101329104707,0.0007223576688892798
peel,OSD-0,rounds>=2,7,0.00035,0.8162,0,0,0,0,0,0,1.0,538895.1080399918,0.280766028309742,-0.15740233761749534,0.00016955101329104707,0.0007223576688892798
peel,OSD-0,rounds>=3,7,0.00035,0.71045,0,0,0,0,0,0,1.0,491399.2335476608,0.229714912280702,-0.055393921982496375,0.00016955101329104707,0.0007223576688892798
peel,OSD-0,flag-only,520,0.026,0.89255,0,513,0,0,513,0,7.458340731200207e-155,565696.9201345626,0.2744384068119433,-0.2149654505644012,0.023883861483393318,0.02829819538712299
peel,OSD-CS4,primary_fail,3,0.00015,0.6476,0,0,0,0,0,0,1.0,4435111.901414625,nan,0.0,5.101389475340828e-05,0.0004409716046718622
peel,OSD-CS4,flag>=1,3,0.00015,0.9419,0,0,0,0,0,0,1.0,6046820.534179509,0.3297294269228615,-0.36339751252968666,5.101389475340828e-05,0.0004409716046718622
peel,OSD-CS4,flag>=2,3,0.00015,0.83325,0,0,0,0,0,0,1.0,5495438.0820967425,0.2846955988345347,-0.23907540649513592,5.101389475340828e-05,0.0004409716046718622
peel,OSD-CS4,flag>=3,3,0.00015,0.73645,0,0,0,0,0,0,1.0,4954013.838696879,0.2342472976535726,-0.11699861216957008,5.101389475340828e-05,0.0004409716046718622
peel,OSD-CS4,flag>=4,3,0.00015,0.68275,0,0,0,0,0,0,1.0,4645865.349198201,0.19056654920032537,-0.047519307847983194,5.101389475340828e-05,0.0004409716046718622
peel,OSD-CS4,rounds>=2,3,0.00015,0.8162,0,0,0,0,0,0,1.0,5403061.863656862,0.280766028309742,-0.21824702144121733,5.101389475340828e-05,0.0004409716046718622
peel,OSD-CS4,rounds>=3,3,0.00015,0.71045,0,0,0,0,0,0,1.0,4804853.07467332,0.229714912280702,-0.08336681947996882,5.101389475340828e-05,0.0004409716046718622
peel,OSD-CS4,flag-only,516,0.0258,0.89255,0,513,0,0,513,0,7.458340731200207e-155,5737907.606432121,0.2744384068119433,-0.2937458476756709,0.023692163960257667,0.02808996972750359
peel,LSD-0,primary_fail,7,0.00035,0.6476,0,0,0,0,0,0,1.0,386384.046600441,nan,0.0,0.00016955101329104707,0.0007223576688892798
peel,LSD-0,flag>=1,7,0.00035,0.9419,0,0,0,0,0,0,1.0,480769.668262175,0.3297294269228615,-0.2442792928232309,0.00016955101329104707,0.0007223576688892798
peel,LSD-0,flag>=2,7,0.00035,0.83325,0,0,0,0,0,0,1.0,444384.01970077056,0.2846955988345347,-0.15010964766955626,0.00016955101329104707,0.0007223576688892798
peel,LSD-0,flag>=3,7,0.00035,0.73645,0,0,0,0,0,0,1.0,410879.2812837448,0.2342472976535726,-0.06339608195219881,0.00016955101329104707,0.0007223576688892798
peel,LSD-0,flag>=4,7,0.00035,0.68275,0,0,0,0,0,0,1.0,394705.27726844023,0.19056654920032537,-0.02153616522527968,0.00016955101329104707,0.0007223576688892798
peel,LSD-0,rounds>=2,7,0.00035,0.8162,0,0,0,0,0,0,1.0,438828.71343974763,0.280766028309742,-0.1357319674575994,0.00016955101329104707,0.0007223576688892798
peel,LSD-0,rounds>=3,7,0.00035,0.71045,0,0,0,0,0,0,1.0,403393.5678350876,0.229714912280702,-0.044022317650801224,0.00016955101329104707,0.0007223576688892798
peel,LSD-0,flag-only,520,0.026,0.89255,0,513,0,0,513,0,7.458340731200207e-155,456705.4809476975,0.2744384068119433,-0.18199880395159207,0.023883861483393318,0.02829819538712299
